description,industry,level,size,line_code,value,standard
Percentage of staff with internet access: no use,Motion picture,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Telecommunications,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Financial & insurance services,1,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Finance,2,total,B0300.06,3,Low
Percentage of staff with internet access: no use,Insurance,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Auxiliary,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,"Rental, hiring, & real estate services",1,total,B0300.06,0,Low
Percentage of staff with internet access: no use,"Professional, scientific, & technical services",1,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Computer systems design,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Other professional scientific,2,total,B0300.06,0,Low
Percentage of staff with internet access: no use,Administrative & support services,1,total,B0300.06,60,Low
Percentage of staff with internet access: no use,Education & training,1,total,B0300.06,21,Low
Percentage of staff with internet access: no use,Health care & social assistance,1,total,B0300.06,18,Low
Percentage of staff with internet access: no use,Arts & recreation services,1,total,B0300.06,18,Low
Percentage of staff with internet access: no use,Other services,1,total,B0300.06,45,Low
Percentage of staff with internet access: no use,total,0,total,B0300.06,2070,High
Type of internet connection used: DSL,total,0,6–19 employees,B0401,4797,High
Type of internet connection used: DSL,total,0,20–49 employees,B0401,1281,High
Type of internet connection used: DSL,total,0,50–99 employees,B0401,471,Low
Type of internet connection used: DSL,total,0,100+ employees,B0401,444,Low
Type of internet connection used: DSL,"Agriculture, forestry, & fishing",1,total,B0401,675,Low
Type of internet connection used: DSL,Agriculture,2,total,B0401,531,Low
Type of internet connection used: DSL,Commercial fishing,2,total,B0401,9,Low
Type of internet connection used: DSL,Forestry & logging,2,total,B0401,27,Low
Type of internet connection used: DSL,"Agriculture, forestry, & fishing support services",2,total,B0401,108,Low
Type of internet connection used: DSL,Mining,1,total,B0401,30,Low
Type of internet connection used: DSL,Manufacturing,1,total,B0401,777,Low
Type of internet connection used: DSL,"Food, beverage, & tobacco",2,total,B0401,222,Low
Type of internet connection used: DSL,"Textile, clothing, footwear, & leather",2,total,B0401,27,Low
Type of internet connection used: DSL,Wood & paper product,2,total,B0401,105,Low
Type of internet connection used: DSL,"Printing, publishing, & recorded media",2,total,B0401,27,Low
Type of internet connection used: DSL,"Petroleum, coal, chemical, & associated product",2,total,B0401,69,Low
Type of internet connection used: DSL,Non-metallic mineral product,2,total,B0401,39,Low
Type of internet connection used: DSL,Metal product,2,total,B0401,102,Low
Type of internet connection used: DSL,Transport and industrial machinery & equipment,2,total,B0401,105,Low
Type of internet connection used: DSL,Other machinery & equipment,2,total,B0401,30,Low
Type of internet connection used: DSL,Other manufacturing,2,total,B0401,48,Low
Type of internet connection used: DSL,"Electricity, gas, water, & waste services",1,total,B0401,45,Low
Type of internet connection used: DSL,Construction,1,total,B0401,807,Low
Type of internet connection used: DSL,Wholesale trade,1,total,B0401,276,Low
Type of internet connection used: DSL,Machinery & equipment wholesaling,2,total,B0401,123,Low
Type of internet connection used: DSL,Other wholesale trade,2,total,B0401,153,Low
Type of internet connection used: DSL,Retail trade,1,total,B0401,1143,High
Type of internet connection used: DSL,Accommodation & food services,1,total,B0401,942,Low
Type of internet connection used: DSL,"Transport, postal, & warehousing",1,total,B0401,330,Low
Type of internet connection used: DSL,Information media & telecommunications,1,total,B0401,72,Low
Type of internet connection used: DSL,Publishing,2,total,B0401,21,Low
Type of internet connection used: DSL,Motion picture,2,total,B0401,18,Low
Type of internet connection used: DSL,Telecommunications,2,total,B0401,30,Low
Type of internet connection used: DSL,Financial & insurance services,1,total,B0401,60,Low
Type of internet connection used: DSL,Finance,2,total,B0401,27,Low
Type of internet connection used: DSL,Insurance,2,total,B0401,6,Low
Type of internet connection used: DSL,Auxiliary,2,total,B0401,30,Low
Type of internet connection used: DSL,"Rental, hiring, & real estate services",1,total,B0401,129,Low
Type of internet connection used: DSL,"Professional, scientific, & technical services",1,total,B0401,573,Low
Type of internet connection used: DSL,Computer systems design,2,total,B0401,105,Low
Type of internet connection used: DSL,Other professional scientific,2,total,B0401,468,Low
Type of internet connection used: DSL,Administrative & support services,1,total,B0401,261,Low
Type of internet connection used: DSL,Education & training,1,total,B0401,177,Low
